idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN
10;RUA TIRADENTES CENTRO;100,0;39595;RUA  TIRADENTES CENTRO;100;100,0;100,0;100,0;"RUA  TIRADENTES CENTRO 100 | Score Final: 100; RUA  TIRADENTES CENTRO 107 | Score Final: 99; RUA  TIRADENTES CENTRO 92 | Score Final: 99; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98; RUA  TIRADENTES CENTRO 130 | Score Final: 98"
11;RUA MEM DE SA JARDIM CASA GRANDE;280,0;1175;AVENIDA  CASA GRANDE CASA GRANDE;280;100,0;100,0;100,0;"AVENIDA  CASA GRANDE CASA GRANDE 280 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 280 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 280 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 277 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 277 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 285 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 285 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 275 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 275 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 275 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 289 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 289 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 289 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 289 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 289 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 271 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 292 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 292 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 292 | Score Final: 100; RUA  MEM DE SA CASA GRANDE 292 | Score Final: 100"
12;AVN SAO JOSE CENTRO;472,0;89141;AVENIDA SAO JOSE CENTRO;472;100,0;100,0;100,0;"AVENIDA SAO JOSE CENTRO 472 | Score Final: 100; AVENIDA SAO JOSE CENTRO 481 | Score Final: 100; AVENIDA SAO JOSE CENTRO 481 | Score Final: 100; AVENIDA SAO JOSE CENTRO 463 | Score Final: 100; AVENIDA SAO JOSE CENTRO 485 | Score Final: 100; AVENIDA SAO JOSE CENTRO 489 | Score Final: 100; AVENIDA SAO JOSE CENTRO 490 | Score Final: 100; AVENIDA SAO JOSE CENTRO 493 | Score Final: 100; AVENIDA SAO JOSE CENTRO 493 | Score Final: 100; AVENIDA SAO JOSE CENTRO 449 | Score Final: 100; AVENIDA SAO JOSE CENTRO 447 | Score Final: 99; AVENIDA SAO JOSE CENTRO 499 | Score Final: 99; AVENIDA SAO JOSE CENTRO 499 | Score Final: 99; AVENIDA SAO JOSE CENTRO 445 | Score Final: 99; AVENIDA SAO JOSE CENTRO 503 | Score Final: 99; AVENIDA SAO JOSE CENTRO 505 | Score Final: 99; AVENIDA SAO JOSE CENTRO 439 | Score Final: 99; AVENIDA SAO JOSE CENTRO 437 | Score Final: 99; AVENIDA SAO JOSE CENTRO 435 | Score Final: 99; AVENIDA SAO JOSE CENTRO 435 | Score Final: 99"
13;RUA SERRA DE MARACUJA PARQUE REID;49,0;69982;RUA  SERRA DE MARACUJA CENTRO;49;75,86;100,0;70,45;"RUA  SERRA DE MARACUJA CENTRO 49 | Score Final: 70; RUA  SERRA DE MARACUJA CENTRO 54 | Score Final: 70; RUA  SERRA DE MARACUJA CENTRO 54 | Score Final: 70; RUA  SERRA DE MARACUJA CENTRO 44 | Score Final: 70; RUA  SERRA DE MARACUJA CENTRO 64 | Score Final: 68; RUA  SERRA DE MARACUJA CENTRO 70 | Score Final: 68; RUA  SERRA DE MARACUJA CENTRO 76 | Score Final: 67; RUA  SERRA DE MARACUJA CENTRO 76 | Score Final: 67; RUA  SERRA DE MARACUJA CENTRO 80 | Score Final: 67; RUA  SERRA DE MARACUJA CENTRO 30 | Score Final: 67; RUA  SERRA DE MARACUJA CENTRO 85 | Score Final: 67; RUA  SERRA DE MARACUJA CENTRO 28 | Score Final: 67; RUA  SERRA DE MARACUJA CENTRO 97 | Score Final: 66; RUA  SERRA DE MARACUJA CENTRO 102 | Score Final: 66; RUA  SERRA DE MARACUJA CENTRO 104 | Score Final: 66; RUA  SERRA DE MARACUJA CENTRO 111 | Score Final: 65; RUA  SERRA DE MARACUJA CENTRO 112 | Score Final: 65; RUA  SERRA DE MARACUJA CENTRO 120 | Score Final: 65; RUA  SERRA DE MARACUJA CENTRO 10 | Score Final: 63; RUA BARAO DE TAQUARI JARDIM RUYCE 65 | Score Final: 54"
14;RUA BARAO DE IGUAPE VIL SAO JOSE;98,0;15269;RUA BARAO DE IGUAPE PIRAPORINHA;98;71,43;100,0;66,86;"RUA BARAO DE IGUAPE PIRAPORINHA 98 | Score Final: 67; RUA  JOSE DE BARROS LIMA VILA NOGUEIRA 82 | Score Final: 66; RUA  JOSE DE BARROS LIMA VILA NOGUEIRA 82 | Score Final: 66; AVENIDA SAO JOSE CENTRO 106 | Score Final: 65; AVENIDA SAO JOSE CENTRO 90 | Score Final: 65; RUA BARAO DE IGUAPE PIRAPORINHA 73 | Score Final: 65; AVENIDA SAO JOSE CENTRO 88 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 135 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 137 | Score Final: 64; AVENIDA SAO JOSE CENTRO 111 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 140 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 141 | Score Final: 64; AVENIDA SAO JOSE CENTRO 115 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 145 | Score Final: 64; AVENIDA SAO JOSE CENTRO 81 | Score Final: 64; AVENIDA SAO JOSE CENTRO 119 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 64 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 151 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 63 | Score Final: 64; RUA BARAO DE IGUAPE PIRAPORINHA 63 | Score Final: 64"
15;RUA SEBASTIAO FERNANDES TOURINHO VIL NOGUEIRA;285,0;27959;RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA;285;98,8;100,0;98,92;"RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 285 | Score Final: 99; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 286 | Score Final: 99; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 288 | Score Final: 99; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 298 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 298 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 298 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 298 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 298 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 272 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 299 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 299 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 300 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 300 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 264 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 264 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 264 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 264 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 309 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 260 | Score Final: 98; RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA 314 | Score Final: 98"
16;RUA DAS AMEIXEIRAS JD ABC;679,0;163095;AVENIDA  DAS AMEIXEIRAS TABOAO;679;80,0;100,0;73,8;"AVENIDA  DAS AMEIXEIRAS TABOAO 679 | Score Final: 74; AVENIDA  DAS AMEIXEIRAS TABOAO 675 | Score Final: 74; AVENIDA  DAS AMEIXEIRAS TABOAO 657 | Score Final: 74; AVENIDA  DAS AMEIXEIRAS TABOAO 740 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 748 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 756 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 760 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 764 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 770 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 770 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 597 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 776 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 778 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 778 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 778 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 778 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 780 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 581 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 581 | Score Final: 73; AVENIDA  DAS AMEIXEIRAS TABOAO 581 | Score Final: 73"
17;RUA 22 DE ABRIL JD CANHEMA;113,0;157571;ESCADARIA  ESCADARIA CANHEMA;0;100,0;0,0;90,0;"ESCADARIA  ESCADARIA CANHEMA 0 | Score Final: 90; ESCADARIA  ESCADARIA CANHEMA 0 | Score Final: 90; ESCADARIA  ESCADARIA CANHEMA 0 | Score Final: 90; ESCADARIA  ESCADARIA CANHEMA 0 | Score Final: 90; RUA  SETE DE ABRIL CANHEMA 120 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 102 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 100 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 100 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 98 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 98 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 98 | Score Final: 87; RUA  SETE DE ABRIL CANHEMA 90 | Score Final: 86; RUA  SETE DE ABRIL CANHEMA 90 | Score Final: 86; RUA  SETE DE ABRIL CANHEMA 90 | Score Final: 86; RUA  SETE DE ABRIL CANHEMA 90 | Score Final: 86; RUA  SETE DE ABRIL CANHEMA 84 | Score Final: 85; RUA  SETE DE ABRIL CANHEMA 84 | Score Final: 85; RUA  SETE DE ABRIL CANHEMA 84 | Score Final: 85; RUA  SETE DE ABRIL CANHEMA 84 | Score Final: 85; RUA  SETE DE ABRIL CANHEMA 80 | Score Final: 85"
18;RUA JOSE VICENTE JD INAMAR;122,0;99539;RUA  JOSE VICENTE INAMAR;122;100,0;100,0;100,0;"RUA  JOSE VICENTE INAMAR 122 | Score Final: 100; RUA  JOSE VICENTE INAMAR 114 | Score Final: 99; RUA  JOSE VICENTE INAMAR 114 | Score Final: 99; RUA  JOSE VICENTE INAMAR 114 | Score Final: 99; RUA  JOSE VICENTE INAMAR 114 | Score Final: 99; RUA  JOSE VICENTE INAMAR 114 | Score Final: 99; RUA  JOSE VICENTE INAMAR 110 | Score Final: 99; RUA  JOSE VICENTE INAMAR 110 | Score Final: 99; RUA  JOSE VICENTE INAMAR 108 | Score Final: 99; RUA  JOSE VICENTE INAMAR 108 | Score Final: 99; RUA  JOSE VICENTE INAMAR 104 | Score Final: 99; RUA  JOSE VICENTE INAMAR 104 | Score Final: 99; RUA  JOSE VICENTE INAMAR 104 | Score Final: 99; RUA  JOSE VICENTE INAMAR 98 | Score Final: 98; RUA  JOSE VICENTE INAMAR 153 | Score Final: 98; RUA  JOSE VICENTE INAMAR 153 | Score Final: 98; RUA  JOSE VICENTE INAMAR 153 | Score Final: 98; RUA  JOSE VICENTE INAMAR 161 | Score Final: 98; RUA  JOSE VICENTE INAMAR 161 | Score Final: 98; RUA  JOSE VICENTE INAMAR 161 | Score Final: 98"
19;RUA JAVARI JD PAINEIRAS;635,0;21410;RUA  JAVARI TABOAO;635;63,16;100,0;60,16;"RUA  JAVARI TABOAO 635 | Score Final: 60; RUA  JAVARI TABOAO 647 | Score Final: 60; RUA  JAVARI TABOAO 663 | Score Final: 60; RUA  JAVARI TABOAO 667 | Score Final: 60; RUA  JAVARI TABOAO 674 | Score Final: 60; RUA  JAVARI TABOAO 677 | Score Final: 60; RUA  JAVARI TABOAO 677 | Score Final: 60; RUA  JAVARI TABOAO 679 | Score Final: 60; RUA  JAVARI TABOAO 687 | Score Final: 59; RUA  JAVARI TABOAO 687 | Score Final: 59; RUA  JAVARI TABOAO 582 | Score Final: 59; RUA  JAVARI TABOAO 582 | Score Final: 59; RUA  JAVARI TABOAO 582 | Score Final: 59; RUA  JAVARI TABOAO 693 | Score Final: 59; RUA  JAVARI TABOAO 578 | Score Final: 59; RUA  JAVARI TABOAO 699 | Score Final: 59; RUA  JAVARI TABOAO 699 | Score Final: 59; RUA  JAVARI TABOAO 699 | Score Final: 59; RUA  JAVARI TABOAO 702 | Score Final: 59; RUA  JAVARI TABOAO 702 | Score Final: 59"
20;AV ELDORADO JARDIM RUYCE;817,0;98493;AVENIDA  ELDORADO JARDIM RUYCE;817;100,0;100,0;100,0;"AVENIDA  ELDORADO JARDIM RUYCE 817 | Score Final: 100; AVENIDA  ELDORADO JARDIM RUYCE 729 | Score Final: 99; AVENIDA  ELDORADO JARDIM RUYCE 727 | Score Final: 99; AVENIDA  ELDORADO JARDIM RUYCE 689 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 689 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 689 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 689 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 679 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 679 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 679 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 675 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 675 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 675 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 667 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 667 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 663 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 663 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 657 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 657 | Score Final: 98; AVENIDA  ELDORADO JARDIM RUYCE 657 | Score Final: 98"
21;RUA ODETE AMARAL DE OLIVEIRA PRQ REAL;129,0;89054;RUA  ODETE AMARAL DE OLIVEIRA SERRARIA;130;84,85;99,23;77,66;"RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 130 | Score Final: 78; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 130 | Score Final: 78; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 124 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 136 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 122 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 122 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA CONCEICAO 129 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 116 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 116 | Score Final: 77; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 110 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 110 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 155 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 106 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 104 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 104 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 104 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 104 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 163 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 100 | Score Final: 76; RUA  ODETE AMARAL DE OLIVEIRA SERRARIA 98 | Score Final: 76"
22;RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE;300,0;139970;RUA  PRUDENTE DE MORAIS CASA GRANDE;300;100,0;100,0;100,0;"RUA  PRUDENTE DE MORAIS CASA GRANDE 300 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 297 | Score Final: 100; RUA  PRUDENTE DE MORAIS CASA GRANDE 297 | Score Final: 100; RUA  PRUDENTE DE MORAIS CASA GRANDE 306 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 293 | Score Final: 100; RUA  PRUDENTE DE MORAIS CASA GRANDE 291 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 310 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 311 | Score Final: 100; RUA  PRUDENTE DE MORAIS CASA GRANDE 287 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 314 | Score Final: 100; AVENIDA  CASA GRANDE CASA GRANDE 318 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 319 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 319 | Score Final: 99; RUA  PRUDENTE DE MORAIS CASA GRANDE 281 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 280 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 280 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 322 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 323 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 277 | Score Final: 99; AVENIDA  CASA GRANDE CASA GRANDE 277 | Score Final: 99"
23;AV LICO MAIA SERRARIA;803,0;11343;AVENIDA  LICO MAIA SERRARIA;803;100,0;100,0;100,0;"AVENIDA  LICO MAIA SERRARIA 803 | Score Final: 100; AVENIDA  LICO MAIA SERRARIA 808 | Score Final: 100; AVENIDA  LICO MAIA SERRARIA 808 | Score Final: 100; AVENIDA  LICO MAIA SERRARIA 930 | Score Final: 99; AVENIDA  LICO MAIA SERRARIA 689 | Score Final: 99; AVENIDA  LICO MAIA SERRARIA 685 | Score Final: 99; AVENIDA  LICO MAIA SERRARIA 681 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 680 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 673 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 670 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 669 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 667 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 664 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 663 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 660 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 659 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 658 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 657 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 655 | Score Final: 98; AVENIDA  LICO MAIA SERRARIA 653 | Score Final: 98"
24;AVN PRESIDENTE JUSCELINO PIRAPORINHA;759,0;33760;AVENIDA  PIRAPORINHA PIRAPORINHA;747;100,0;98,42;99,84;"AVENIDA  PIRAPORINHA PIRAPORINHA 747 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 693 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 834 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 687 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 687 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 681 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 847 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 847 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 847 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 847 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 677 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 677 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 855 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 855 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 855 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 855 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 663 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 869 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 875 | Score Final: 99; AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA 875 | Score Final: 99"
25;AVENIDA SINESIO PEREIRA CAMPANARIO;27,0;25087;AVENIDA  SYNESIO PEREIRA CAMPANARIO;27;96,15;100,0;96,54;"AVENIDA  SYNESIO PEREIRA CAMPANARIO 27 | Score Final: 97; RUA  SYNESIO PEREIRA CAMPANARIO 32 | Score Final: 95; RUA  SYNESIO PEREIRA CAMPANARIO 38 | Score Final: 94; RUA  SYNESIO PEREIRA CAMPANARIO 38 | Score Final: 94; RUA  SYNESIO PEREIRA CAMPANARIO 38 | Score Final: 94; RUA  SYNESIO PEREIRA CAMPANARIO 38 | Score Final: 94; RUA  SYNESIO PEREIRA CAMPANARIO 44 | Score Final: 93; RUA  SYNESIO PEREIRA CAMPANARIO 54 | Score Final: 92; RUA  SYNESIO PEREIRA CAMPANARIO 54 | Score Final: 92; RUA  SYNESIO PEREIRA CAMPANARIO 54 | Score Final: 92; RUA  SYNESIO PEREIRA CAMPANARIO 54 | Score Final: 92; RUA  SYNESIO PEREIRA CAMPANARIO 58 | Score Final: 91; RUA  SYNESIO PEREIRA CAMPANARIO 58 | Score Final: 91; RUA  SYNESIO PEREIRA CAMPANARIO 64 | Score Final: 91; RUA  SYNESIO PEREIRA CAMPANARIO 68 | Score Final: 91; RUA  SYNESIO PEREIRA CAMPANARIO 68 | Score Final: 91; RUA  SYNESIO PEREIRA CAMPANARIO 74 | Score Final: 90; RUA  SYNESIO PEREIRA CAMPANARIO 74 | Score Final: 90; RUA  SYNESIO PEREIRA CAMPANARIO 82 | Score Final: 90; RUA  SYNESIO PEREIRA CAMPANARIO 82 | Score Final: 90"
26;AVENIDA AFRANIO PEIXOTO VILA PAULINA;643,0;59437;AVENIDA  AFRANIO PEIXOTO ELDORADO;599;76,92;93,16;70,69;"AVENIDA  AFRANIO PEIXOTO ELDORADO 599 | Score Final: 71; AVENIDA  AFRANIO PEIXOTO ELDORADO 599 | Score Final: 71; AVENIDA  AFRANIO PEIXOTO ELDORADO 548 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 546 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 546 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 544 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 543 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 542 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 541 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 541 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 540 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 531 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 530 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 530 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 530 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 525 | Score Final: 70; AVENIDA  AFRANIO PEIXOTO ELDORADO 525 | Score Final: 70"
27;RUA ITALIA JARDIM DAS NACOES;290,0;25950;AVENIDA  DAS NACOES TABOAO;291;74,07;99,66;68,97;"AVENIDA  DAS NACOES TABOAO 291 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 289 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 295 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 299 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 299 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 299 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 279 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 279 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 275 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 275 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 307 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 307 | Score Final: 69; AVENIDA  DAS NACOES TABOAO 267 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 267 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 317 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 317 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 323 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 327 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 327 | Score Final: 68; AVENIDA  DAS NACOES TABOAO 327 | Score Final: 68"
